0.01000 0.90560 0.07590 0.89960 0.09050
0.02000 0.82530 0.13760 0.81210 0.16870
0.03000 0.75110 0.19200 0.74040 0.23170
0.04000 0.69000 0.23450 0.68030 0.28370
0.05000 0.63510 0.26970 0.62990 0.32670
0.06000 0.58550 0.29950 0.58860 0.36040
0.07000 0.54150 0.32340 0.55440 0.38890
0.08000 0.50130 0.34330 0.52970 0.40780
0.09000 0.46450 0.35950 0.51040 0.42330
0.10000 0.43300 0.37000 0.49460 0.43550
0.11000 0.40420 0.37800 0.48320 0.44390
0.12000 0.37360 0.38870 0.48080 0.44390
0.13000 0.34570 0.39500 0.47520 0.44810
0.14000 0.33070 0.39220 0.46320 0.45860
0.15000 0.30360 0.39560 0.46910 0.45160
0.16000 0.28710 0.39170 0.46780 0.45340
0.17000 0.26870 0.39080 0.46320 0.45700
0.18000 0.25520 0.38570 0.46030 0.45960
0.19000 0.24200 0.37940 0.46380 0.45580
0.20000 0.22510 0.37540 0.46310 0.45510
0.21000 0.21050 0.36800 0.46420 0.45530
0.22000 0.20170 0.35860 0.46410 0.45450
0.23000 0.19060 0.35430 0.45940 0.45940
0.24000 0.17890 0.34200 0.46090 0.45820
0.25000 0.16740 0.33730 0.45830 0.45950
0.26000 0.15950 0.32470 0.45210 0.46810
0.27000 0.15420 0.31430 0.46870 0.45210
0.28000 0.14270 0.29970 0.46180 0.45700
0.29000 0.13160 0.28640 0.47600 0.44390
0.30000 0.12580 0.27000 0.46330 0.45400
0.31000 0.11960 0.25980 0.46060 0.45940
0.32000 0.11220 0.24770 0.45870 0.46080
0.33000 0.10620 0.22970 0.46190 0.45550
0.34000 0.09990 0.22520 0.45350 0.46410
0.35000 0.09920 0.20030 0.46420 0.45350
0.36000 0.08800 0.18770 0.44510 0.47230
0.37000 0.08740 0.17800 0.46870 0.45220
0.38000 0.07710 0.16610 0.45650 0.46060
0.39000 0.07620 0.15030 0.47030 0.44980
0.40000 0.06970 0.13200 0.45200 0.46650
